cluster number,used,target word,20 related words,rest of words,num words
120,1,bar,new restaurant local hut diner crowded hustle embassy fare parlor shack ghetto saloon cafe consulate uptown convenience nightclub urban hospitality,dine pub homey tavern catering chic stakeout etiquette informal brothel takeout clientele hideout hellhole rundown venue commune posh slum boutique homely bistro trendy teahouse underbelly hangout suburbia seedy coffeehouse clubbing speakeasy cathouse snazzy hostel nightlife upscale shanty pizzeria ritzy bordello affluent squalid squalor bustling shoestring swanky fancier meatpacking squatter eatery nightspot unpretentious globetrotter opulent tearoom urbane yelp boardinghouse takeaway teepee touristy chophouse footpad shantytown teashop gastronomical bohemia bohemian centerstage cookhouse cosmopolitan flatiron gastronomy manila metropolis roadhouse steakhouse tastebud ,98
14,1,prison,jail interrogation drug crack illegal prisoner busted custody bail dope possession undercover parole heroin cocaine suspended enforcement detention convict probation,marijuana fugitive juvenile asylum curfew seizure notorious scram snitch diversion smuggling penitentiary prosecute bong offender inmate felon prostitution meth opium illegally smuggle detain imprisonment frisk correctional jailhouse lockup pedophile amnesty extradition penal cartel smuggler kingpin contraband indict molester confinement deport deportation incarceration illicit sobriety paraphernalia vagrancy wiretap bondsman cannabis hashish dispensary imprison indefinite unlicensed electroshock abuser bootlegging methamphetamine ganja extradite triggerman detainee escapee crackdown incarcerate violator parolee trafficker detainment undocumented cockfighting importation mugshot dangerousness ineligibility investigatory jailer leaker nonviolent ,99
18,1,protection,keep inside safe security kept protect keeping breaking safety secure liberty protecting privacy prevent vault strictly perimeter shield vital strict,protector restraint intrusion watchman noose confidentiality intruding tightly sanctity barricade prying suffocating sentry scrutiny restrained riffraff safeguard ringside anonymity safekeeping shielding straitjacket vigilant precautionary reassurance securely undue abreast ironclad shielded vigilance peephole sparing tinfoil deterrent henhouse watchful confining stifling strongbox preventative chafe soiling backstop childproof jealously frisking gumming wraparound dignitary preciously regimented nonessential deterrence vigilantly breeched burglarproof chinstrap chokehold gallivant groundsheet heedful keycard lockdown protectively sacredly safehouse safeness unspotted,89
157,1,crazy,mad weird strange evil horrible insane bloody freak scary nightmare alien creepy psycho maniac vicious madness dreadful insanity brutal bizarre,doom hideous madman freaky grim spooky terrifying ruthless menace premonition psychopath morbid horrid monstrous deranged sinister mayhem crazed ghastly gruesome homicidal murderous demented inhuman eerie sadistic unleash grotesque contraption bloodbath horrific satanic ominous unholy perverse merciless infernal frightful clockwork bonkers diabolical lunacy vengeful ghostly bloodthirsty doomsday hellish monstrosity faceless gory psychopathic beastly fiendish menacing maniacal devilish freakish foreboding macabre apocalyptic dastardly doppelganger malevolent futuristic megalomaniac villainous unearthly fantastical tentacle ghoulish nightmarish hallucinatory cannibalistic animalistic misanthropic remorseless diabolic megalomaniacal dystopia ,99
47,1,silly,ridiculous foolish mistaken rumor absurd myth outrageous irrelevant justify vague unreasonable assumption preposterous irrational bogus speculation questionable incorrect wildly misguided,unreliable ludicrous hype extravagant untrue dubious exaggerated frivolous premise unrealistic inconsistent insufficient wishful biased exaggeration misleading lofty conflicting improbable contradictory fictitious unfounded illogical erroneous incoherent inaccurate inflated laughable fanciful materialize guesswork credence grandiose simplistic unwarranted gratuitous insubstantial alarmist baseless outlandish preconceived unsubstantiated reliance nonsensical unsupported groundless overblown patently speculative hyperbole unproven unscientific flatly imprecise overreaching unjustified disingenuous sensationalism unworkable untruthful farfetched implausible unverified demonstrably illusory oversimplification sensationalist sensationalistic unsupportable conjectural fallacious false manifestly meritless strawman unexhausted unpatented unpersuasive unproved unsubstantial unverifiable wrongheaded ,102
53,1,bed,sleep seat sleeping asleep chair comfortable couch comfort furniture lap blanket nap pillow twin rug mattress bunk bedtime crib sofa ,cozy blackout infant mat sleigh cradle slumber comfy slipper cuddle cushion sleeper cot deluxe canopy sham comfortably sleepover snug hammock snuggle napping upholstery tablecloth oversized snooze toddler bedding cushy glider playpen soundly futon pillowcase plush waterbed beanbag bedspread reclining armchair hugger comforter bassinet underfoot ottoman headboard sectional duvet trundle bedclothes catnap recliner armrest featherbed footstool highchair recline headrest snugly washable cushioned napped terrycloth armless slat swaddle bedsheet lounger loveseat kneeler luxuriously slipcover backrest bedcover bunkbed cozily cushiony daybed footboard valance wicker wingback ,102
87,1,challenge,problem trouble question needs tough situation difficult finding dealing grave solve urgent struggle critical facing burden tricky faced overcome pressing,difficulty resolve crucial riddle tackle confront temptation wrestle cope arise shortage dilemma obstacle maze nagging dire roadblock predicament navigate formidable troublesome hardship juggle urgency dreaded paradox ponder adversity conquering minefield problematic rectify unresolved complexity perilous defuse existential hurdle fraught impediment conundrum aggravating quandary precarious wrangle backlog daunting untangle ambiguity gridlock hindrance insurmountable logistical enormity grapple weighty unstuck confounding geopolitical budgetary knotty diplomatically shortcoming surmount unsolvable logjam scrapheap sidestep surmountable cornstalk daunt multifaceted air_conditioner bottleneck conjuncture iceskate insolvable intermittency pitfall salutatory surmounted thorny unenviable ,103
167,1,sign,clearly official flag badge skull tag signature tattoo marked statue helmet symbol indicate identification custom marker motto sticker pictured slogan,monument plaque graffiti likeness tribal logo inscription engraved mascot marking distinctive conspicuous billboard evident medallion memento imprint mural headstone pentagram unmistakable splatter outlined promotional flagpole emblem fathead hologram motif signify swastika depict suggestive ostentatious lettering commemorative symbolize telltale gravestone logos signage engrave personalize phallic indelible monogram wording scrawl stylized swoosh legible prominently inscribe numeral wristband adorn lettered nameplate penciled affix decal placard crossbones signboard unmistakably conspicuously indelibly barbwire hardhat slaveholder superimposed alphanumerical banner ceremonially legibly moistener nametag notarize pictograph pushpin shamrock sharpie tombstone ,103
137,1,applause,over crowd rush audience laughter cheering excitement rage  intense burst thrill fuss hysterical riot furious swept demanding spontaneous adrenaline raging,outrage anticipation frantic hysteria commotion frenzy giddy nonstop whirl controversy unprecedented ruckus outburst craziness glee chaotic fanfare uncontrollable breathless townspeople uproar rowdy whirlwind ovation tantrum swelled feverish gushing hysterics pandemonium sellout unbridled adrenalin rioting churning elicit rousing coursing flurry earful tearful incite deluge erupt jeering unadulterated impassioned spurt exuberance frenzied raucous throng fervor hubbub uncontrolled anguished outpouring boisterous outcry uninhibited mirth ensuing tirade horniness houseful fevered jubilant swooning backlash clamor gleeful immoderate unrestrained exultation firestorm jubilation aflutter groundswell rapturous convulsive gesticulation overspill rollercoaster rowdiness,104
165,1,broken,bad lost missing mess due loose condition badly ruined fallen blown slightly torn twisted cracked tore crooked misunderstood failing corrupt,fragile unstable severely shaky flooded mend horribly defective incomplete distorted obsolete corrupted inadequate tainted erratic dangerously faulty warped dysfunctional hopelessly brittle strained tragically scarred deformed inevitably mutilated flawed diseased leaky disorganized imperfect degraded garbled punctured sorely fundamentally outdated uneven wobbly rusted unbalanced antiquated awry deficient grossly incompatible deteriorate decrepit frayed dodgy substandard understaffed muddled disarray misshapen askew unusable fragmented skewed unavoidably tattered decayed noticeably illegible disrepair disastrously waterlogged blighted grievously irreparably irretrievably unreadable irreversibly kilter nonfunctional catastrophically defoliated gravely mender overfull rusty unbent unserviceable ,104
62,1,dog,cat animal rescue rabbit pet shelter puppy adorable fur domestic chow breed companion vet stray hound kitten adoption adopt guinea,doggy leash crate mutt boxer mink pup paw poodle tame miniature furry hamster humane obedience canine ferret mangy sitter microchip cuddly pooch critter cadaver temperament kennel bloodhound terrier feline spaniel breeder pedigree gerbil retriever teacup hairless chinchilla sheepdog euthanasia lop dachshund purebred calico hedgehog rescuer schnauzer feral potbellied legged mastiff pedigreed spay bobtail conformation potbelly ragamuffin spaying foxhound adoptable anthropomorphic beagle behaviorist bulldog chihuahua collie coonhound dalmatian deerhound eskimo fawn greyhound humanization husky labrador meow neuter pelt pug shepherd siamese siberian tabby unadoptable wolfhound woof ,105
153,1,garbage,dirty waste dump dirt dust trash bury rotten filthy junk pit stink pile stinking spill grease messy urine clearing poop,rubbish bin vomit disposal toxic heap sewer filth smelly dumping dumpster litter stinky rotting dispose debris latrine slime saliva stench containment manure cleanup muck pollution hazardous slop piles dung recycling septic lint landfill cesspool excrement contamination sanitation sewage buildup crud polluted clutter drainage reek soiled recycle clog droppings feces incinerator contaminate putrid fecal moldy sawdust rancid decontamination gunk sludge grime trashcan seepage wastepaper noxious rainwater biohazard runoff aboveground curbside dustbin spillage reuse incineration abatement contaminant foulness burnable cleanout digester hazmat pollutant radioactively remediate spoilage wastewater ,105
130,0,people,race social pride culture identity population queer poverty cultural injustice prejudice racial gender heritage immigration workplace minority discrimination disability refugee,equality ethnic racism bias immigrant oppression census citizenship disadvantage indigenous diversity bullying caste demographic segregation nationality discriminate deprivation inferiority stereotype bigotry intolerance stigma ancestry slur perpetuate racially linguistic pervasive inbreeding homophobia ingrained migrant ageism chauvinism exclusion ethnicity disparity unequal victimization aboriginal biracial sexism societal socioeconomic disproportionately illiteracy inequity stereotyped immigrate generational homelessness transgender handedness inequality multicultural patriarchy transgendered underachievement underclass elitism illegitimacy islander racialism adoptee affirmative bilingualism centenarian disenfranchisement ethnical ethnocentrism farmworker holocaust intermarriage marginality monolingual multiracial nationhood negro queerness separatism stigmatization stonewall symbolization tribalism xenophobia ,106
160,1,road,street train station bus cross bridge airport gate traffic parking route mile tunnel highway exit railroad subway crossing loop driveway,corridor freeway runway sidewalk ferry speeding rail curb toll transit ramp intersection interstate detour pavement checkpoint railway pedestrian escalator motorcade streetcar roadside stagecoach expressway thoroughfare turnpike westbound commute alleyway eastbound pileup southbound carpool turnoff concourse northbound commuter motorist overpass embankment oncoming roundabout tarmac crosswalk ferryboat culvert turnstile walkway congested causeway vehicular blacktop signpost stoplight transcontinental interchange footpath guardrail underpass wayside derailment roadway tollbooth crossroad beeline motorway footbridge rockslide monorail superhighway flyover unpaved bloodmobile seawall bicyclist boulevard carriageway junction landside lane lax metro milepost packhorse parkway skywalk,106
46,1,poor,young sick dying blind lonely desperate ill trapped suffering starving deaf helpless homeless injured vulnerable welfare troubled affected struggling desperately,orphan starved crippled unlucky elderly powerless unemployed aged disabled needy stranded handicapped beggar dependent deprived frail livelihood stricken defenseless outcast afflicted oppressed leper penniless plight indebted autistic battered indisposed tormented lifeline impaired sickly maimed wayward underprivileged destitute marooned impoverished motherless terminally friendless indigent paraplegic bereaved brokenhearted hapless orphaned disenfranchised bedridden disadvantaged dyslexic shiftless downtrodden fatherless lovelorn uninsured infirm chronically amputee maladjusted underdeveloped unemployable malnourished debilitated dependant disaffected pitiable stateless undernourished incurably parentless underfed homebound rootless uninsurable assistive creditworthy evacuee feebleminded hemophiliac housebound landless middleclass noncitizen pensioner quadriplegic undereducated ,108
56,1,bag,carry pack pocket travel wallet purse leather suitcase sack handy luggage everyday storage fold briefcase pad messenger umbrella cloth compartment,strap notebook diaper canvas bundle backpack laptop accessory caddy flap handbag checkbook backseat sling holster folding hobo canteen pouch compact sturdy duffel pocketbook satchel trusty stow lightweight padded tote tarp stroller wheeled nappy jot stowaway knapsack bulky jogger organizer commuting roomy airsick armband collapsible billfold calfskin bankbook bedroll divider rucksack hydration sorter schoolbag ergonomic expandable workhorse carryall moneybag webbing goatskin multipurpose overnighter resuscitator toiletry weekender airsickness beltless horsehide sailcloth stepstool stowing bookbag clamshell compactly dividable eyelike fanny foldable moleskin oilcloth packable pushchair rainproof reusable traversable velcro wristlet zippy ,108
79,1,show,funny joke film stage television actor drama circus humor clown comedy comic dramatic footage directed documentary hilarious entertaining puppet backstage,flick comedian prank corny props starring fright spectacle theatrical staged goof onstage staging caper troupe farce entertainer sitcom humorous believable fictional unfold animation melodramatic animated monologue montage screwball surreal sideshow gimmick flashback ventriloquist reenactment comical skit hypnotist standup newsreel parody starred melodrama satire infomercial hokey impersonator emcee blackface impersonation offstage ringmaster portrayal telecast pantomime reenact switcheroo narration blooper narrate slapstick spoof unfunny satirical ventriloquism whodunit hilarity marionette comedienne dramatization campy docudrama shenanigan unscripted puppetry pyrotechnic satiric broadway hammy hilariously narrator performing_arts potboiler puppeteer sexploitation sidesplitting tragicomedy unaired voiceover,108
93,1,food,eat fat hungry eating feed weight ate meal healthy diet eats snack chew starve hunger lifestyle vegetarian fiber balanced craving,crave consume cholesterol consumption unhealthy wholesome eater starvation famished intake ration nourishment primal staple consuming devour digestion nutrition digestive nutritious munch kibble devouring moderation vegan morsel fasting sustenance abstain ravenous obese gruel ingest malnutrition obesity nutritional nutrient dietary voracious ingestion sugary livelong palatable roughage calorie metabolize starchy underweight healthful mealtime sedentary undigested gluten overfed sculptress gluttonous overeat caloric carbohydrate digestible gainer macrobiotic nutritionally fructose inactivity indigestible prepackaged subsistence vegetarianism fishmeal foodstuff malnourishment omnivorous aspartame dieter dogfood healthily horsemeat interrelation leanness macrobiotics micronutrient mindfully omnivore overindulgence ravenously undernourishment unhealthful ,108
9,1,beer,drink coffee drunk wine drinking bottle champagne juice liquor alcohol spirits whiskey cigar thirsty gin brandy booze cocktail vodka bartender,martini rum bourbon alcoholic pouring tequila lemonade sip splash whisky ale refreshing keg pint mingle cognac jug brew beverage cider drinker tasting brewery margarita cordial flask hooch stout refreshment vermouth intoxicating moonshine brewing pucker seltzer daiquiri schnapps highball quench fizz absinthe barman liqueur dregs lager draught muddle concoction firewater bitters winery inebriated distillery corked guzzle maraschino taster uncork ferment fizzy grenadine winemaker sangria fermentation nonalcoholic limeade mocker drinkable wineglass corking glassful growler zinfandel hookah bottler brewer chardonnay chug coke cola decant distil distiller homebrew scotch sherry sipper skittles toddy winemaking,110
102,1,counting,one two first every three minute five second four each times least six half ten seven eight entire hundred third ,single thousand nine twice nearly fourth row quarter fifth fifty quarters pound eleven sixth seventh reaching approximately eighth ninth tenth roughly equivalent gram weighing seventy span consecutive kilo millimeter fives measly thirteenth sixteenth succeeding eleventh preceding whopping digit twentieth millionth fifteenth eighteenth hundredth kilometer onwards seventeenth millisecond thousandth centimeter successive nanosecond thereabouts microsecond sixtieth thirtieth colonist kilogram megabyte milliliter seventieth decameter eighteen eightieth eighty elapse errorless fifteen forenoon forty fourteen fourteenth kilobyte megabit microgram nanometer nineteen ninetieth ninety quadrillion seventeen sixteen sixty successively tally thirteen thirty trillionth twelfth twelve twenty,110
193,1,marriage,married marry age pregnant advice dating divorce birth abortion pregnancy flirting separation homosexual wedded sexuality breakup matrimony unfaithful conceive puberty,conception marital unmarried fertility heterosexual childbirth annulment dowry elope infidelity menopause courtship miscarriage motherhood betrothed wedlock promiscuous vasectomy homosexuality paternity monogamy abstinence remarry celibacy monogamous matchmaker parenthood womanhood adulthood celibate circumcision premarital insemination chaste childless nuptials promiscuity cannibalism birthing unwed prenuptial spousal procreate divorcee contraception fatherhood impregnate newlywed procreation infertility incestuous polygamy adulterous contraceptive bigamist extramarital matchmaking matrimonial infertile menstruation breastfeeding sexless childbearing elopement asexual betrothal heterosexuality breastfeed marriageable menopausal nuptial ovulation widowhood barrenness remarriage bisexuality cohabitation polygamist polygamous singleness unfaithfulness asexuality childlessness coeducation cohabit headship householder matriarchy postnuptial preconception ,110
59,1,kindness,respect courage patience manners loyalty dignity affection honesty compassion virtue decency generosity morals bravery admirable humility sincerity teamwork selfless modesty,patriotism reverence valor chivalry empathy heroism tact ethic candor commendable unselfish decorum diligence perseverance professionalism fatherly gallantry piety politeness civility sportsmanship benevolence gentlemanly openness deference chivalrous gentleness godliness frankness forbearance selflessness deportment directness manliness niceness positivity thoughtfulness altruism bluntness salesmanship faithfulness graciousness wifely knightly steadfastness friendliness gentility promptness statesmanship stoicism meekness soldierly affability protectiveness attentiveness earnestness exemplify mildness thankfulness cheerfulness cordiality forthrightness gratefulness humbleness incorruptibility kindliness sociability airmanship approachability candidness circumspection conscientiousness docility frugality generalship geniality helpfulness humaneness humanitarianism industriousness liberality neighborliness outspokenness prudence respectfulness sternness straightforwardness submissiveness temperance unselfishness uprightness,111
132,1,cook,heat cooking aside pot dough pour pan fridge oven fry refrigerator spoon melt bake boil stir freezer lid lightly grill,boiling batter melted microwave toaster baking melting temp kettle stirring uncovered thermometer warmed quart crock steaming simmer blender thaw skillet thermos bubbling spatula grate toothpick puffed tongs parchment roasting evenly ladle wok stainless cooker fryer sizzle whisk poacher cauldron beaker drizzle defrost skewer blacken marinate baste griddle butterball poach broil giblets scald utensil sear simmering broiler refrigerate reheat knead rotisserie saucepan teakettle bottomed colander cookware carafe crockery hotplate thicken basting broiling convection percolator preheat stirrer roaster brazier backburner blackening braise caramelize flameproof freeze greased nonstick ovenware popover propagator revere rimmed ungreased ,111
108,1,useless,spent expensive complicated wasting wasted painful task annoying confusing petty endless unnecessary endure worthwhile errand distraction pointless hassle stressful frustrating,ordeal exhausting irritating devote hectic trivial futile costly endeavor redundant tiresome tedious sleepless excruciating housework tiring prolonged chore toil impractical monotonous bureaucratic mundane unnecessarily undertaking lengthy agonizing sifting trifling bearable grueling pricey intrusive needlessly strenuous wasteful entail repetitive intermittent bureaucracy menial labored fruitless superfluous maddening inefficient thankless winded monotony bothersome cumbersome extraneous laboring convoluted counterproductive unproductive torturous painstaking protracted ponderous toiling drudgery irksome inflexible prohibitive wordy repetitious backbreaking laborious tortuous unwieldy busywork tediously unprofitable unavailing unneeded unrewarding wearying obtrusive prohibitively purposeless unessential burdensome herculean needless nonproductive pointlessly profitless uneconomic uneconomical wearisome wordiness ,112
150,1,dance,walking jump dancing swing routine gym exercise dancer perform balance flip ballet stunt technique spinning pose leap trainer tango yoga ,ballroom practiced squat shuffle maneuver workout hoop jogging barefoot stride hula skater trot juggling fitness posture leaping aerobics gymnastics dismount trapeze twirl tumbling rumba shimmy footwork choreography treadmill balancing prance squatting trampoline moonwalk gliding gymnast shuffling straddle dumbbell somersault juggler lunge tightrope waggle jitterbug sandbag barbell gait jujitsu acrobatic pushup acrobatics canter choreograph unicycle vaulting aerobic barefooted handspring locomotion handstand quickstep twirler washboard contortionist postural strongman teeter contortion gymnastic headstand backbend exerciser noncompetitive shadowboxing sidestroke stilt aerialist aerobatics breakdance foxtrot freefall ironman isometrics jumprope nimbly rollerskate rower steelyard toeless undulation walkover yo-yo ,112
3,1,magic,spell witch mysterious psychic wizard magical magician potion monk possessed healing voodoo supernatural casting summon elves genie superstitious wand demonic,mystical enchanted orb witchcraft shaman amulet superstition exorcism aura sorcerer healer occult mystic talisman paranormal reincarnation conjure priestess astral telepathy folklore mythical totem broomstick apparition clairvoyant invisibility lore adept sorcery poltergeist coven telepathic enchantment incantation savant seance levitate telekinesis nether wizardry ectoplasm esoteric exorcise sorceress hypnotism spiritualism dispel witching otherworldly alchemy psychokinesis teleport clairvoyance extrasensory nymphomania intangibility levitation precognition illusionist vampirism conjurer divination psychokinetic recuperative mesmerism teleportation mapmaking necromancy occultism witchery exorcize illusionary numerology precognitive abracadabra aphrodisiacal cleric conjuror enchanter erosive fortunetelling magi revivification rewriter shamanism soothsaying spiritism spiritualistic supernormal tarot toyshop wizardly ,113
178,1,invisible,almost impossible practically absolute virtually vanish insignificant unbearable unimportant unseen seemingly unspeakable unstoppable unexplained unheard unthinkable conceivable untraceable unspoken impenetrable,imaginable unimaginable inconceivable godsend immaterial untouchable nonexistent incomprehensible inexplicable invulnerable limitless unexplainable impregnable undetectable intangible indescribable unattainable inscrutable inconsequential unreachable inaccessible inedible impassable uninhabitable immeasurable inconsolable unapproachable unfathomable indistinguishable odorless unrecognizable incalculable unknowable unmentionable unendurable unmanageable immovable unchanging unchangeable unobserved illusive omnipresent unidentifiable unobtainable indecipherable indefinable unalterable insensible undrinkable changeless existent imperceptible inexpressible insupportable irredeemable unaccountable unconquerable unlivable unachievable undoable unredeemable destroyable effortful impalpable impermanent imponderable inappreciable inaudibly incorporeal indeterminable indiscernible infeasible nonmaterial thinkable unchallengeable unclassifiable undecipherable undistinguishable undreamt uneatable unfeasible ungovernable unimagined unmovable unnoticeable unnoticeably unobjectionable unplayable unrealizable unrecognizably unrepeatable valueless vanishingly ,113
28,1,charming,clever bold goofy ambitious daring lively eccentric wacky witty snappy sidekick edgy flair dashing ingenious flashy lovable youthful persona unorthodox ,feisty bubbly imaginative carefree energetic cheeky adventurous spirited playful impetuous cheery vibrant racy brainy rebellious headstrong inventive endearing unconventional likable charismatic idealistic whimsical incorrigible sporty kooky gutsy peppy quirky childlike spunky boyish pizzazz delightfully romp audacious enterprising precocious whimsy flamboyant girlish harebrained mischievous brash foolhardy eclectic quirk charmingly offbeat unassuming flirtatious rambunctious swaggering vivacious exuberant outdoorsy enigmatic lighthearted irrepressible wry zany irreverence jaunty streetwise beguiling folksy idiosyncratic ingratiating irreverent playfulness roguish brassy chirpy impish rascally swashbuckling adventuresome adorably anarchic clownish whacky appealingly buccaneering buffoonish cheekiness endearingly infectiously mischievousness oddball prankish puckish sassy youthfully zestful ,114
84,1,emotionally,totally speaking technically physically mentally incapable politically socially financially morally psychologically medically sufficiently rationally historically spiritually romantically scientifically objectively logically,visually intellectually uniquely critically biologically ethically culturally economically religiously musically strategically unsound fashionably technologically literate physiologically anatomically environmentally mathematically militarily artistically geographically solidly aesthetically structurally academically autonomous mechanically philosophically tactically gainfully psychically conceptually sociologically subjectively ethnically innately lyrically factually fiscally functionally ideologically intrinsically qualitatively architecturally developmentally hygienically vocally cognitively cosmetically ecologically educationally employable facially melodically mystically numerically photographically proverbially scholastically temperamentally administratively analytically biochemically bureaucratically cerebrally climatically contextually genealogically harmonically industrially inspirationally institutionally journalistically linguistically managerially materialistically metaphysically meteorologically methodologically metrically numerate organizationally perceptually scenically semantically stylistically territorially theologically theoretically topographically typographically unscientifically vocationally ,114
197,1,cockroach,rid poison trap bug bee worm spider mole rot tick sting bats eliminate ant biting mold poisonous flea skunk nuisance,insect pest roach parasite vermin odor moth fungus beetle exterminator mosquito rodent louse maggot stung wasp gopher swarm wart pollen mite microscopic exterminate extermination pesky hive grasshopper stinging repellent termite infestation tapeworm recluse repel bumblebee scab hairball anthill burrow invader eradicate insecticide parasitic centipede gnat mildew pheromone meddlesome amoeba snakebite bedbug dander eradication genus infest anemone bloodsucking larva bumble microbe mange swatter cobweb flytrap honeybee fungi housefly ragweed earthworm spore repelling earwig fumigation horsefly aphid repellant silverfish spyware allergen eliminator honeypot preen allergenic arachnid flatworm fumigator hornet locust odorous parasitical roundworm scabies stingless woodchuck ,114
